Date,Pewdiepie_Subs_M,Tseries_Subs_M
2015-01,33.3,6.3
2015-02,34.2,6.4
2015-03,35,6.6
2015-04,35.7,6.8
2015-05,36.4,6.9
2015-06,37,7.1
2015-07,37.6,7.3
2015-08,38.5,7.5
2015-09,39,7.7
2015-10,39.6,8
2015-11,40.2,8.3
2015-12,40.7,8.6
2016-01,41.4,8.9
2016-02,41.9,9.2
2016-03,42.6,9.6
2016-04,43.1,9.9
2016-05,43.7,10.3
2016-06,44.9,10.7
2016-07,45.9,11
2016-08,47,11.4
2016-09,47.7,11.9
2016-10,48.2,12.4
2016-11,49,12.9
2016-12,49.4,13.6
2017-01,51.8,14.5
2017-02,52.9,15.3
2017-03,54,16.2
2017-04,54.5,17.4
2017-05,54.9,18.6
2017-06,55.2,19.6
2017-07,56,20.8
2017-08,56.7,22.4
2017-09,57.2,23.9
2017-10,57.4,25.5
2017-11,57.7,27.1
2017-12,58.1,28.9
2018-01,58.9,31.3
2018-02,60.5,34.3
2018-03,61.2,37.4
2018-04,61.9,40.7
2018-05,62.4,44
2018-06,63,47.1
2018-07,63.8,51
2018-08,64.8,55.7
2018-09,65.8,60.1
2018-10,66.6,64.2
2018-11,69.1,68.4
2018-12,73.5,73.1
2019-01,79.5,78.4
2019-02,83.5,83.4
2019-03,87.6,87.6
2019-04,92.4,92.3
2019-05,95.3,96.7
2019-06,96.3,100.5
2019-07,97,103.8
2019-08,98.5,107.1
2019-09,100.8,110.6
2019-10,101,113.1
2019-11,101.3,116
2019-12,101.7,120.2
2020-01,102,123.1
2020-02,102.3,127.1
2020-03,102.7,130.2
2020-04,103,134.1
2020-05,104,137.1
2020-06,104.5,140.1
2020-07,105,144
2020-08,105.5,147.1
2020-09,106,151
2020-10,106.5,155
2020-11,107,159
2020-12,107.5,163.1
2021-01,108,166.4
2021-02,108.4,170.3
2021-03,108.7,174
2021-04,109,178.1
2021-05,109.1,181
2021-06,109.3,183.3
2021-07,109.4,186
2021-08,109.5,189
2021-09,109.6,191.4
2021-10,109.8,194.1
2021-11,109.9,197.1
2021-12,110,200
2022-01,110.5,203
2022-02,111,205.9
