Rank,Channel,Subscribers_Millions,Primary_Language,Category,Country
1,T-Series,221,Hindi,Music,India
2,Cocomelon,139,English,Education,United States
3,SET India,138,Hindi,Entertainment,India
4,PewDiePie,111,English,Gaming,Sweden
5,MrBeast,99.3,English,Entertainment,United States
6,Kids Diana Show,98.4,English,Film,Ukraine
7,Like Nastya,98.2,English,Entertainment,Russia
8,WWE,89.7,English,Sports,United States
9,Zee Music Company,86.1,Hindi,Music,India
10,Vlad and Niki,84,English,Entertainment,Russia
11,5-Minute Crafts,77,English,How-to,Cyprus
12,Blackpink,75.4,Korean,Music,South Korea
13,Goldmines Telefilms,72.7,Hindi,Film,India
14,Sony SAB,69.9,Hindi,Entertainment,India
15,BANGTANTV,69.6,Korean,Music,South Korea
16,Justin Bieber,69.5,English,Music,Canada
17,HYBE LABELS,67.6,Korean,Music,South Korea
18,Canal KondZilla,65.8,Portuguese,Music,Brazil
19,Zee TV,62.9,Hindi,Entertainment,India
20,Shemaroo Filmi Gaane,61,Hindi,Music,India
21,Pinkfong! Kids',59,English,Education,South Korea
22,Dude Perfect,57.9,English,Sports,United States
23,Movieclips,57.4,English,Film,United States
24,ChuChu TV,57.4,Hindi,Education,India
25,Marshmello,55.6,English,Music,United States
26,Colors TV,54.6,Hindi,Entertainment,India
27,Wave Music,53.1,Bhojpuri,Music,India
28,EminemMusic,52.8,English,Music,United States
29,Aaj Tak,52.6,Hindi,News Channel,India
30,Tips Official,52.4,Hindi,Music,India
31,Ed Sheeran,52.1,English,Music,UK
32,Sony Music India,52.1,Hindi,Music,India
33,T-Series Bhakti Sagar,51.9,Hindi,Music,India
34,Ariana Grande,51.6,English,Music,United States
35,El Reino Infantil,51.3,Spanish,Music,Argentina
36,LooLoo Kids,49.5,English,Music,United States
37,YRF,47.2,Hindi,Music,India
38,Taylor Swift,46.9,English,Music,United States
39,JuegaGerman,46,Spanish,Music,Chile
40,Billie Eilish,46,English,Music,United States
41,Badabun,45.6,Spanish,Entertainment,Mexico
42,Fernanfloo,45.1,Spanish,Gaming,El Salvador
43,Infobells - Hindi,45.1,Hindi,Education,India
44,Felipe Neto,44.3,Portuguese,Entertainment,Brazil
45,whinderssonnunes,43.9,Portuguese,Comedy,Brazil
46,BRIGHT SIDE,43.8,English,Education,Cyprus
47,HolaSoyGerman.,43.3,Spanish,Entertainment,Chile
48,Did You know?,43.2,Portuguese,Entertainment,Brazil
49,Katy Perry,43.1,English,Music,United States
50,Alan Walker,42.1,English,Music,Norway
